Treatment,gcps,PPK,PPK_Base,Point_ID,Type,Horz_Acc,Vert_Acc,Photos,RMS_Reprojection_Err,RMS_Dist_Rays,3D_Error,X Error,Y Error,Vert_Error,Horz Error
2 GCPs + PPK,2,TRUE,NA,1016,CP,0.01,0.01,4,1.51,0.01921,0.04826,-0.00589,0.00039,-0.0479,0.005902898
2 GCPs + PPK,2,TRUE,NA,1020,CP,0.01,0.01,3,4.43,0.03673,0.03752,0.00779,-0.03469,0.012,0.035553906
2 GCPs + PPK,2,TRUE,NA,1021,CP,0.01,0.01,4,4.18,0.03728,0.03992,0.014,-0.02858,0.0241,0.031824777
2 GCPs + PPK,2,TRUE,NA,1022,CP,0.01,0.01,4,2.79,0.02589,0.02497,0.01174,-0.01764,0.0132,0.021189554
2 GCPs + PPK,2,TRUE,NA,1023,CP,0.01,0.01,3,2.86,0.02802,0.03985,0.01449,-0.01268,0.03489,0.019254675
2 GCPs + PPK,2,TRUE,NA,1024,CP,0.01,0.01,3,2.9,0.02532,0.02575,-0.01316,-0.02065,0.00797,0.024486896
2 GCPs + PPK,2,TRUE,NA,1025,CP,0.01,0.01,4,3.73,0.03587,0.03202,-0.00416,-0.03064,0.00834,0.030921113
2 GCPs + PPK,2,TRUE,NA,1026,CP,0.01,0.01,4,4.25,0.03451,0.03699,0.00912,-0.0354,0.00564,0.036555908
2 GCPs + PPK,2,TRUE,NA,1027,CP,0.01,0.01,4,3.57,0.03072,0.03381,0.0045,-0.02825,-0.01801,0.028606162
2 GCPs + PPK,2,TRUE,NA,1028,CP,0.01,0.01,3,5.88,0.04718,0.06536,0.01317,-0.04934,0.04079,0.05106745
2 GCPs + PPK,2,TRUE,NA,1019,CP,0.01,0.01,4,2.24,0.02065,0.0249,0.00339,-0.01655,0.01829,0.016893626
2 GCPs + PPK,2,TRUE,NA,1013,CP,0.01,0.01,3,2.49,0.0251,0.05625,-0.00659,-0.01226,0.0545,0.013918897
2 GCPs + PPK,2,TRUE,NA,1017,CP,0.01,0.01,4,1.68,0.01563,0.0304,-0.00345,-0.0113,-0.02801,0.011814927
2 GCPs + PPK,2,TRUE,NA,1007,CP,0.01,0.01,4,1.24,0.01294,0.03136,-0.00063,0.00453,-0.03102,0.004573598
2 GCPs + PPK,2,TRUE,NA,1029,CP,0.01,0.01,3,6.1,0.05208,0.07615,-0.00823,-0.0491,-0.05763,0.049784967
2 GCPs + PPK,2,TRUE,NA,1030,CP,0.01,0.01,4,5.14,0.04778,0.0436,0.00816,-0.0428,-0.00148,0.043570926
3 GCPs,3,FALSE,NA,1018,GCP,0.01,0.01,4,0.46,0.0098,0.00078,0.0006,0.0005,0.00002,0.000781025
3 GCPs,3,FALSE,NA,1003,GCP,0.01,0.01,4,0.6,0.00578,0.00042,0.00042,-0.00002,0,0.000420476
3 GCPs,3,FALSE,NA,1029,GCP,0.01,0.01,3,0.53,0.00684,0.00051,-0.00017,-0.00048,-0.00002,0.000509215
3 GCPs,3,FALSE,NA,1001,CP,0.01,0.01,4,0.92,0.00992,0.01761,0.00072,-0.00333,0.01727,0.003406949
3 GCPs,3,FALSE,NA,1002,CP,0.01,0.01,4,1.91,0.01509,0.0137,0.00786,0.01113,-0.00148,0.013625583
3 GCPs,3,FALSE,NA,1004,CP,0.01,0.01,4,1.82,0.01377,0.01463,-0.00769,0.00294,-0.01209,0.008232843
3 GCPs,3,FALSE,NA,1005,CP,0.01,0.01,4,1.6,0.016,0.05989,-0.00331,0.00734,-0.05935,0.008051813
3 GCPs,3,FALSE,NA,1006,CP,0.01,0.01,4,1.66,0.02283,0.04911,-0.01394,0.00487,0.04683,0.014766194
3 GCPs,3,FALSE,NA,1008,CP,0.01,0.01,4,1.44,0.02115,0.01815,-0.01019,0.00976,0.01142,0.014110057
3 GCPs,3,FALSE,NA,1009,CP,0.01,0.01,4,1.89,0.01843,0.01598,-0.01381,0.00391,-0.00703,0.014352846
3 GCPs,3,FALSE,NA,1010,CP,0.01,0.01,4,1.43,0.01193,0.03735,0.00227,0.00449,-0.037,0.005031203
3 GCPs,3,FALSE,NA,1012,CP,0.01,0.01,3,1.77,0.0134,0.01145,0.01087,0.00336,-0.00131,0.011377456
3 GCPs,3,FALSE,NA,1014,CP,0.01,0.01,4,1.61,0.00577,0.03364,0.00263,0.00319,-0.03338,0.004134368
3 GCPs,3,FALSE,NA,1015,CP,0.01,0.01,4,1.08,0.01778,0.02227,-0.00028,0.00136,0.02222,0.001388524
3 GCPs,3,FALSE,NA,1016,CP,0.01,0.01,4,1.98,0.01705,0.03328,-0.01564,0.01142,-0.02706,0.019365588
3 GCPs,3,FALSE,NA,1020,CP,0.01,0.01,3,0.92,0.01162,0.02178,0.00752,-0.00303,-0.02022,0.008107484
3 GCPs,3,FALSE,NA,1021,CP,0.01,0.01,4,2.07,0.02024,0.01798,0.01374,0.00564,0.01014,0.014852515
3 GCPs,3,FALSE,NA,1022,CP,0.01,0.01,4,2.27,0.02174,0.023654,0.01105,0.01173,-0.01732,0.016115067
3 GCPs,3,FALSE,NA,1023,CP,0.01,0.01,4,2.06,0.02043,0.04028,0.00845,0.00821,0.03851,0.011781621
3 GCPs,3,FALSE,NA,1024,CP,0.01,0.01,4,2.52,0.02352,0.06907,-0.02165,-0.00125,0.06558,0.021686055
3 GCPs,3,FALSE,NA,1025,CP,0.01,0.01,4,4.42,0.04577,0.09454,-0.00536,-0.00498,0.09426,0.00731642
3 GCPs,3,FALSE,NA,1026,CP,0.01,0.01,4,2.12,0.0247,0.05232,0.00868,-0.0062,0.05122,0.010666883
3 GCPs,3,FALSE,NA,1027,CP,0.01,0.01,4,1.49,0.01026,0.0129,0.00619,0.00762,0.00837,0.009817357
3 GCPs,3,FALSE,NA,1028,CP,0.01,0.01,3,2.12,0.02023,0.06213,0.0192,-0.00687,0.05868,0.020392079
3 GCPs,3,FALSE,NA,1019,CP,0.01,0.01,4,1.46,0.01384,0.01372,0.00113,0.00814,-0.01099,0.008218059
3 GCPs,3,FALSE,NA,1013,CP,0.01,0.01,3,1.95,0.01688,0.02028,-0.01065,0.00952,0.01439,0.014284709
3 GCPs,3,FALSE,NA,1017,CP,0.01,0.01,4,1.45,0.01106,0.02599,-0.01151,0.00167,0.02324,0.01163052
3 GCPs,3,FALSE,NA,1007,CP,0.01,0.01,4,1.95,0.01694,0.0149,-0.01344,0.00574,-0.00292,0.014614418
3 GCPs,3,FALSE,NA,1030,CP,0.01,0.01,4,2.96,0.01826,0.11504,0.01198,-0.01287,0.11368,0.01758287
4 GCPs,4,FALSE,NA,1018,GCP,0.01,0.01,4,1.01,0.01315,0.02065,-0.00095,0.00461,-0.0201,0.004706867
4 GCPs,4,FALSE,NA,1003,GCP,0.01,0.01,4,0.62,0.00676,0.00863,0.00028,-0.00054,0.0086,0.000608276
4 GCPs,4,FALSE,NA,1029,GCP,0.01,0.01,3,0.63,0.00666,0.00438,-0.00315,-0.00089,-0.00291,0.003273316
4 GCPs,4,FALSE,NA,1030,GCP,0.01,0.01,4,0.76,0.01178,0.01524,0.00382,-0.00318,0.01441,0.004970392
4 GCPs,4,FALSE,NA,1001,CP,0.01,0.01,4,0.81,0.00642,0.0216,0.00217,-0.00107,-0.02147,0.002419463
4 GCPs,4,FALSE,NA,1002,CP,0.01,0.01,4,2.04,0.01547,0.01569,0.00888,0.01145,-0.006,0.01448989
4 GCPs,4,FALSE,NA,1004,CP,0.01,0.01,4,1.27,0.01507,0.01076,-0.00591,0.00217,0.00873,0.006295792
4 GCPs,4,FALSE,NA,1005,CP,0.01,0.01,4,1.46,0.01486,0.05355,-0.00221,0.00772,-0.05294,0.0080301
4 GCPs,4,FALSE,NA,1006,CP,0.01,0.01,4,1.71,0.01927,0.02442,-0.01308,0.0074,0.01925,0.015028187
4 GCPs,4,FALSE,NA,1008,CP,0.01,0.01,4,3.49,0.0401,0.04189,-0.01,0.01617,-0.03733,0.019012335
4 GCPs,4,FALSE,NA,1009,CP,0.01,0.01,4,2.5,0.02382,0.03211,-0.01326,0.00732,-0.02831,0.015146287
4 GCPs,4,FALSE,NA,1010,CP,0.01,0.01,4,1.21,0.01102,0.02429,0.00316,0.00518,-0.02352,0.006067784
4 GCPs,4,FALSE,NA,1012,CP,0.01,0.01,3,1.8,0.01566,0.03309,0.01206,0.00241,0.03072,0.012298443
4 GCPs,4,FALSE,NA,1014,CP,0.01,0.01,4,0.8,0.01013,0.0176,0.00292,0.00377,-0.01694,0.004768574
4 GCPs,4,FALSE,NA,1015,CP,0.01,0.01,4,0.79,0.01289,0.00613,-0.00071,0.00497,0.00351,0.005020458
4 GCPs,4,FALSE,NA,1016,CP,0.01,0.01,4,2.33,0.02321,0.07873,-0.01645,0.0182,-0.07481,0.024532478
4 GCPs,4,FALSE,NA,1020,CP,0.01,0.01,3,1.47,0.01081,0.01499,0.00724,-0.00416,0.01245,0.008350042
4 GCPs,4,FALSE,NA,1021,CP,0.01,0.01,4,2.45,0.02411,0.04048,0.01287,0.00415,0.03816,0.013522552
4 GCPs,4,FALSE,NA,1022,CP,0.01,0.01,4,2.1,0.02025,0.01861,0.0092,0.01233,-0.01047,0.015384047
4 GCPs,4,FALSE,NA,1023,CP,0.01,0.01,4,1.88,0.01779,0.01617,0.00533,0.01262,0.0086,0.01369939
4 GCPs,4,FALSE,NA,1024,CP,0.01,0.01,4,3.13,0.02738,0.02701,-0.02589,0.00659,0.00394,0.026715542
4 GCPs,4,FALSE,NA,1025,CP,0.01,0.01,4,2.2,0.02752,0.02086,-0.01135,0.0031,0.01722,0.011765734
4 GCPs,4,FALSE,NA,1026,CP,0.01,0.01,4,0.64,0.01175,0.00838,0.00431,-0.00121,0.00709,0.004476628
